# Model: Local min.
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
8.850e+09,2.647e-11
8.994e+09,2.522e-11
9.140e+09,2.401e-11
9.289e+09,2.285e-11
9.440e+09,2.172e-11
9.594e+09,2.063e-11
9.750e+09,1.958e-11
9.908e+09,1.857e-11
1.007e+10,1.760e-11
1.023e+10,1.667e-11
1.040e+10,1.578e-11
1.057e+10,1.493e-11
1.074e+10,1.412e-11
1.092e+10,1.334e-11
1.109e+10,1.261e-11
1.127e+10,1.191e-11
1.146e+10,1.126e-11
1.164e+10,1.064e-11
1.183e+10,1.007e-11
1.202e+10,9.532e-12
1.222e+10,9.036e-12
1.242e+10,8.579e-12
1.262e+10,8.161e-12
1.283e+10,7.777e-12
1.304e+10,7.427e-12
1.325e+10,7.108e-12
1.346e+10,6.818e-12
1.368e+10,6.554e-12
1.390e+10,6.314e-12
1.413e+10,6.096e-12
1.436e+10,5.898e-12
1.459e+10,5.717e-12
1.483e+10,5.551e-12
1.507e+10,5.397e-12
1.532e+10,5.254e-12
1.557e+10,5.119e-12
1.582e+10,4.990e-12
1.608e+10,4.864e-12
1.634e+10,4.740e-12
1.660e+10,4.614e-12
1.687e+10,4.486e-12
1.715e+10,4.352e-12
1.743e+10,4.213e-12
1.771e+10,4.070e-12
1.800e+10,3.923e-12
1.829e+10,3.772e-12
1.859e+10,3.619e-12
1.889e+10,3.464e-12
1.920e+10,3.308e-12
1.951e+10,3.150e-12
1.983e+10,2.992e-12
2.015e+10,2.834e-12
2.048e+10,2.677e-12
2.081e+10,2.522e-12
2.115e+10,2.369e-12
2.149e+10,2.218e-12
2.184e+10,2.070e-12
2.220e+10,1.926e-12
2.256e+10,1.786e-12
2.293e+10,1.652e-12
2.330e+10,1.523e-12
2.368e+10,1.399e-12
2.406e+10,1.282e-12
2.446e+10,1.170e-12
2.485e+10,1.064e-12
2.526e+10,9.636e-13
2.567e+10,8.683e-13
2.609e+10,7.783e-13
2.651e+10,6.934e-13
2.694e+10,6.135e-13
2.738e+10,5.384e-13
2.783e+10,4.680e-13
2.828e+10,4.021e-13
2.874e+10,3.408e-13
2.921e+10,2.837e-13
2.968e+10,2.308e-13
3.016e+10,1.820e-13
3.065e+10,1.372e-13
3.115e+10,9.608e-14
3.166e+10,5.867e-14
3.217e+10,2.481e-14
3.270e+10,-5.643e-15
3.323e+10,-3.285e-14
3.377e+10,-5.697e-14
3.432e+10,-7.815e-14
3.488e+10,-9.656e-14
3.544e+10,-1.124e-13
3.602e+10,-1.257e-13
3.661e+10,-1.367e-13
3.720e+10,-1.456e-13
3.781e+10,-1.526e-13
3.842e+10,-1.577e-13
3.905e+10,-1.611e-13
3.968e+10,-1.630e-13
4.033e+10,-1.636e-13
4.098e+10,-1.630e-13
4.165e+10,-1.614e-13
4.233e+10,-1.588e-13
4.302e+10,-1.556e-13
